"Id","PostTypeId","Score","Title","Body","Tags","ViewCount","AnswerCount","CommentCount","CreationDate","ClosedDate"
77740724,1,0,"formkit input dynamic component error plugin vite plugin vue inspector invalid end tag","try use formkit render component sheet vue resourceform vue form vue pre code script section resourceform vue const formcomponent defineasynccomponent try prop formslug throw new error quot component directory quot return import prop formslug form vue catch err console error err template section resourceform vue component quot formcomponent quot form vue script setup lang quot quot const sample script template div div formkit name quot test quot label quot test quot placeholder quot test quot div div template code pre error pre code plugin vite plugin vue inspector invalid end tag home joojieman nsp web client component product category form vue code pre","<nuxt.js><formkit>",50,0,0,"2024-01-01T01:06:42.267",""
77740815,1,0,"git bash able display prompt run init gatsby","href net png rel nofollow noreferrer img src net png alt everything seem updated terminal window work display prompt try follow quick start guide gatsby terminal start glitching see image run code npm init gatsby code window expect prompt usable tried update git window nothing change","<node.js><gatsby><git-bash>",16,0,0,"2024-01-01T02:26:05.663",""
77740915,1,1,"flutter app crash io google sign package","use code googlesignin signin code method production scheme io app crash start updated xcode crash happen io work stage scheme work production scheme exception log pre code flutter follow platformexception throw main platformdispatcher flutter platformexception google sign uiviewcontroller miss initial trait collection populate flutter initialization serious bug cause access property method view controller call uiviewcontroller initializer view controller flutter sfauthenticationviewcontroller fdd nsinternalinconsistencyexception null flutter flutter exception stack flutter googlesigninapi signin package google sign io src message dart asynchronous suspension flutter googlesigninios signinuserdatafromchanneldata package google sign io google sign io dart asynchronous suspension flutter googlesignin callmethod package google sign google sign dart asynchronous suspension code flutter doctor log pre code flutter channel stable macos darwin arm locale flutter version channel stable user urvesh work flutter upstream repository git framework revision day engine revision dart version devtools version android toolchain develop android device android sdk version android sdk user urvesh library android sdk platform android build tool java binary application android studio app content jbr content home bin java java version runtime environment build android license accept xcode develop io macos xcode xcode application xcode app content build cocoapods version android studio version android studio application android studio app content plugin instal com plugin dart plugin instal com plugin dart java version runtime environment build code version code application visual studio code content flutter extension version connect device available iphone mobile dcc io com apple coresimulator simruntime io simulator network resource expect network resource available code pre try update google sign package require upgrade work downgrade old flutter version check googleservice info plist prod amp stage variable key value correct","<ios><flutter><firebase><google-signin>",308,1,0,"2024-01-01T03:50:24.050",""
77740679,1,0,"video key frame quality worse quality regular frame","do get image file picker draw canvas loop use requestanimationframe record canvas canvas capturestream mediarecorder problem keyframes record video second worse quality regular frame video flicker split second second video pre code new mediarecorder canvasmedistream mimetype video webm codecs videokeyframeintervalduration code pre video file href com file coiltmdtdptfpcdmdn snd btx gca view usp share rel nofollow noreferrer com file coiltmdtdptfpcdmdn snd btx gca view share regular frame href net xxtdg jpg rel nofollow noreferrer img src net xxtdg jpg alt enter image description keyframe href net jpg rel nofollow noreferrer img src net jpg alt enter image description","<javascript><canvas><web-mediarecorder>",76,0,0,"2024-01-01T00:28:08.980",""
77740745,1,0,"master unresponsive give spark","make airflow spark use docker hen command use spark image pre code docker exec spark master container name spark submit master spark usr local spark app script code pre work error occur use sparksubmitoperator airflow dag error log pre code info standaloneappclient clientendpoint connect master spark info transportclientfactory create connection spent bootstrap info standaloneappclient clientendpoint connect master spark info standaloneappclient clientendpoint connect master spark error standaloneschedulerbackend application kill reason master unresponsive give code pre airflow connects spark attempt connect time follow error occur sparksession stop idea","<docker><apache-spark><airflow>",82,0,0,"2024-01-01T01:23:46.327",""
77740794,1,0,"code save build task trigger format save","have anybody manage combine save build format save code run build task format save file building run menu press ctl shift keyboard shortcut define possible anybody kind explain achieve enable format save work own run build task save file format save execute","<visual-studio-code><vscode-tasks>",108,1,0,"2024-01-01T02:09:12.403",""
77740792,1,2,"have trouble save generate input filament form","try figure problem week try various forum doc tool outdated want create series select option radio checkboxes utilize tag table generate choice case hobbyratings tag type polymorphic relationship code get individual rating display respective choice choice save familiar filament code work know make save everything save default see sample expect render href rel nofollow noreferrer sample morph examples doc dont seem align goal mind add hobbyrating relationship doesnt support morphtomany add loop display rating parent child option need save choose select box need save parent code render expect sure save hope provide guidance see data send troubleshoot add data data hobbyratings anything nothing display sure troubleshoot figure data pass debugbar doesnt provide data everything know standard troubleshoot step work filament think whole quot schema quot thing throw code hobby model pre code public function hobbyratings morphtomany return morphtomany tag class taggable tag type withtimestamps code pre hobbyresource pre code public static function form form form form return form schema other form field hobby rating polymorphic relationship section make rating schema function hobby record component allratings tag type get modelratings record hobbyratings foreach allratings parent null rating component select make hobbyratings rating label rating tag option allratings parent rating pluck tag modelratings contain rating component default modelratings parent rating first component component return component columnspanfull protect static function saverelationships record data void isset data hobbyratings tagids foreach data hobbyratings parentid childid childid tagids childid tagids record hobbyratings sync tagids record save parent saverelationships record data code pre filament attempt project work difficulty alter filamaent livewire pre code rating wherenull parent rating div class quot col quot div class quot quot div class quot form row align item center quot div class quot col quot label class quot control label control label leave quot quot rating slug quot rating tag label div div class quot col quot select name quot rating quot quot rating slug quot class quot form control quot data role quot select quot wire model quot rating rating slug quot option select option rating parent rating option option description quot option description value quot option quot data parent quot option parent quot option tag option select div div small quot rating slug help quot class quot form text text mute quot rating description small div div description code pre controller pre code public function update updatehobbyrequest request hobby hobby hobby update request synctags request hobby return success hobby update protected function synctags request hobby hobby void category request input category rating request input rating rating array filter rating function return trim array array merge category rating hobby tag sync array code pre","<php><laravel><laravel-filament>",744,0,0,"2024-01-01T02:07:11.653",""
77740890,1,0,"select copy text linebreaks andoird","display text android kotlin line break user selects copy line break clipboard have pre code textview android quot recognize text quot android textisselectable quot true quot code pre let say text text quot string text quot view show row pre code string text code pre select text get pre code string text code pre clipboard line break user select part text keep mind need use code textview code way use copy selection button long press text textview regular pop menu consider use quot quot quot quot find documentation change anything think","<android><kotlin><textview><copy-paste>",121,2,0,"2024-01-01T03:24:51.240",""
77740896,1,0,"formatexception unexpected end input character","work friend use local sql database identical name table field database issue arises friend try execute query pre class lang dart prettyprint code void getsuggestion async var res await http post uri parse api search body quot query quot query res statuscode setstate var data json decode res body else setstate error true code pre encounter error quot formatexception unexpected end input character quot line pre class lang dart prettyprint override code var data json decode res body code pre printing response printf show empty response cause work use physical device test php correspond respective network notebook wifi ethernet happen thank try print re body friend get empty string php pre class lang php prettyprint code php include connection php isset request quot query quot query strtolower request quot query quot quot quot hay una query sea get post etc asignarlo json quot error quot false json quot errmsg quot quot quot json quot data array sql quot select clipro order nombre asc quot re connectnow sql numrows mysqli num row res numrows hay datos namelist array obj mysqli fetch object res match str contains strtolower obj nombre strtolower query similaridad entre nombres namelist match obj nro cuenta array obj nro cuenta name obj nombre direccion direccion tel telefono krsort namelist sort array key desending order use ksort reverse foreach namelist innerarray foreach innerarray nro cuenta data subdata array create new array subdata quot quot quot nro cuenta quot subdata quot name quot data quot name quot subdata quot direccion quot data quot direccion quot subdata quot tel quot data tel quot array push json quot data quot subdata json quot error quot true json quot errmsg quot quot hay datos que mostrar quot mysqli connectnow header content type application json tell browser json data echo json encode json code pre","<json><flutter><formatexception>",99,0,5,"2024-01-01T03:30:11.547",""
77740770,1,0,"javascript convert result xorshift float value math random","need write program exploit cryptographic insecurity javascript math random ctf thing know javascript convert int float pseudo randomization algorithm javascript understand xorshift python look something pre code def cast int return amp xffffffff def xorshift global state global state state cast int cast int state amp xffff cast int state state cast int cast int state amp xffff cast int state return cast int cast int state state amp xffff code pre bitwise operation scenario perform integer float result javascript math random float javascript convert know intuitive thing suggest simple division try reproduce result try divide int result none reproduce result math random state","<javascript><python><random>",82,0,5,"2024-01-01T01:46:28.063",""
77740864,1,0,"generate unique sequence","try solve href sum rel nofollow noreferrer combination sum pre code output explanation possible combination way be code pre solution pre code class solution object def combinationsum self nums target quot quot quot type nums list int type target int rtype int quot quot quot result def dfs curr total print total target result append curr return total target len nums return curr append nums dfs curr total nums curr pop dfs curr total dfs print result return len result code pre generate solution sure construct recursive tree solution produce general think build recursive tree different solution unique combination contain possible solution unique sequence etc help appreciate","<python><python-3.x>",104,2,3,"2024-01-01T03:02:50.850",""
77740911,1,0,"edit text div div","html file popup html popup error html add div popup error html div call inner body popup html try access edit div link popup error html throw error code typeerror cannot set property set innertext code guess dom load tried code document getelementbyid inner body addeventlistener domcontentloaded function code function throw error code uncaught typeerror cannot read property null reading addeventlistener code code able add display div popup error html popup html unable edit div error code advice appreciate code strong popup strong pre code set div innerbody popup html popup error html document getelementbyid inner body innerhtml object style quot height quot type quot text html quot data quot popup error html quot object set error code document getelementbyid quot error code quot innertext quot find fail code pre strong popup html strong pre code doctype html html head link rel quot stylesheet quot type quot text cs quot href quot style popup cs quot script src quot script popup quot script head body div quot inner body quot div quot header quot load div div quot text quot get information div div body html code pre strong popup error html strong pre code doctype html html head link rel quot stylesheet quot type quot text cs quot href quot style popup cs quot script src quot script popup quot script head body div quot error code quot error code div body html code pre","<javascript><html><jquery><css>",53,1,0,"2024-01-01T03:47:24.263",""
77740653,1,0,"upgrade loop ubuntu nodejs","look upgrade nodejs version hit snag require upgraded libc today turn require upgrading ubuntu upgrade nodejs stump initial issue try upgrade follow package unmet dependency base core depend libc ubuntu instal idea miss try get thing order ubuntu instance use homebridge able get homebridge update nodejs version thought insight appreciate hop something simple miss tried upgrade nodejs ubuntu run issue update other","<node.js><ubuntu-20.04>",26,0,0,"2024-01-01T00:04:56.260",""
77740721,1,0,"add rax mean assembly mnemonic description fit","reverse cheat engine come add rax instruction nothing incorrect seem ret instruction add rax instruction appear see screenshot href net png rel nofollow noreferrer img src net png alt memory wonder type mnemonic instruction fit one see screenshot href net png rel nofollow noreferrer img src net png alt mnemonic try put breakpoints add rax instruction breakpoints seem get hit initial guess mnemonic quot add quot opcode screenshot add rax quot quot doesnt fit mnemonic describe mnemonic mnemonic screenshot similar quot add quot reason think first operand rax bit register enclose square bracket hope someone shed light subject","<assembly><x86><x86-64><reverse-engineering>",618,0,2,"2024-01-01T01:02:31.720",""
77740720,1,6,"make yfinance work http sock proxy","yahoo website open port browser set proxy port http http firefox port provide http proxy port provide href wiki sock sock rel nofollow noreferrer sock proxy service pre class lang none prettyprint code url quot yahoo com finance download msft quot curl sock hostname url msft txt code pre download yahoo data expect use yfinance library proxy try method pre class lang python prettyprint code import yfinance msft ticker quot msft quot msft history proxy quot quot msft history proxy quot quot msft history proxy quot sock quot code pre none work output pre code msft price data find symbol delisted period empty dataframe column open low adj close volume index code try method pre class lang none prettyprint code export proxy sock python code pre output pre class lang none prettyprint code python default feb gcc linux type quot help quot quot copyright quot quot credit quot quot license quot information code pre pre class lang none prettyprint code import yfinance msft ticker quot msft quot msft history code pre output pre class lang none prettyprint code fail get ticker msft reason sockshttpsconnectionpool host query finance yahoo com port read time read msft price data find symbol delisted period empty dataframe column open low adj close volume index code issue code export https proxy code try method pre class lang none prettyprint code pip install pysocks first import socket import sock sock set default proxy sock sock quot quot socket socket sock socksocket import yfinance msft ticker quot msft quot msft history code pre error information pre class lang none prettyprint code fail get ticker msft reason httpsconnectionpool host query finance yahoo com port max retries exceed url finance chart msft range amp interval amp crumb tcwrgfmytiv cause newconnectionerror urllib connection httpsconnection object fail establish new connection errno name service know code pre fix update href net png rel nofollow noreferrer img src net png alt enter image description request proxy href net gzyc png rel nofollow noreferrer img src net gzyc png alt enter image description proxy href net arkoj png rel nofollow noreferrer img src net arkoj png alt enter image description provide service href net rct png rel nofollow noreferrer img src net rct png alt enter image description latest try bash command python href net mqlol png rel nofollow noreferrer img src net mqlol png alt enter image description code port sock proxy code stable code http proxy code href net nau png rel nofollow noreferrer img src net nau png alt enter image description fetch data code http code proxy last get data","<python-3.x><proxy><yfinance>",1734,1,4,"2024-01-01T01:01:50.950",""
77740820,1,0,"mean big query show error message","code pre code select count customer count purchase price purchase size charjx project twenty customer data customer purchase purchase size order purchase size code pre error message blockquote select list expression reference column purchase price group aggregated blockquote super new sql learning in out error","<sql><google-bigquery><syntax-error><aggregates>",33,1,0,"2024-01-01T02:31:28.270",""
77740955,1,0,"drag recyclerview item allow reorder animation drag different recyclerview","create app allow drag item recyclerview goal touch item drag type location long press short similar use custom ondraglistener rv viewholders achieve drag item view work use subview holder achieve drag work animation item move new position release tried change return value listener order consume touch success","<animation><android-recyclerview><drag-and-drop>",23,0,0,"2024-01-01T04:26:34.487",""
77740646,1,1,"make url address text clickable url use setlinkurl google apps script","happy new year everyone list name list url use generate pdf document content data document want url address clickable text single data problem manage create difficulty document generate multiple script make follow pre code function createpdfdocuments var sheetdatabase spreadsheetapp getsheetbyname database quot var startrow var rowno sheetdatabase getlastrow var sumrow rowno startrow var filemasterid driveapp getfilebyid document xxxxx list name spreadsheet column number var namelist sheetdatabase getrange sumrow getvalues list url spreadsheet column number var urldatalist sheetdatabase getrange sumrow getvalues var namelist length var urldata urldatalist var name namelist copy new document document master var copyid driveapp getfilebyid filemasterid makecopy doc name getid var copydoc documentapp openbyid copyid var copybody copydoc getactivesection master document text replace data text name replace name list url address replace url list copybody replacetext text name name copybody replacetext text url address urldata replace text make link correspond url var teksurldata urldata find text turn link var teksrangeurldata copybody findtext teksurldata script fail create log return logger log quot range url data quot teksrangeurldata text find convert link teksrangeurldata var tekselement teksrangeurldata getelement teksstart teksrangeurldata getstartoffset var teksend teksrangeurldata getendoffsetinclusive delete start text end text tekselement deletetext teksstart teksend enter link appropriate text tekselement inserttext teksstart teksurldata setlinkurl urldata copydoc saveandclose convert temporary document pdf use geta blob conversion docblob driveapp getfilebyid copyid geta quot application pdf quot docblob setname quot doc quot name quot pdf quot var file driveapp createfile docblob var newfileid file getid var driveapp getfilebyid newfileid move destination folder var docfolder driveapp getfolderbyid quot folder save doc xxxx quot newfile moveto docfolder dell temporary file driveapp getfilebyid copyid settrashed true code pre use href apps script make text clickable url use replacetext documentation fail help appreciate","<google-apps-script><pdf-generation>",222,1,0,"2024-01-01T00:01:14.953",""
77741158,1,1,"invalid conversion const char const unsigned char fpermissive follow tutorial","follow tutorial dsage youtube get compiler pre code personal game data cppprojects helloworld gloom cpp function void init personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive personal game data cppprojects helloworld gloom cpp error invalid conversion const char const unsigned char fpermissive code pre code pre code include math include stdio include glut define re define re screen width define re screen height define half screen width define half screen height define pixelscale res opengl pixel scale define glsw pixelscale opengl window width define glsh pixelscale opengl window height texture include quot texture number quot include quot texture view quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot include quot texture quot int numtext number texture int numsect number sector int typedef struct int time time typedef struct int int int key key typedef struct float co float sin math math typedef struct int int int player player typedef struct int int int int int shade wall wall typedef struct int int int int int int surf int surface sector sector typedef struct int texture height const unsigned char name texture name texuremaps texuremaps texture void load file fopen quot level quot quot quot null printf quot error open level return int fscanf quot quot amp numsect number sector numsect load sector fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot numwall number wall load wall fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp fscanf quot quot amp shade fscanf quot quot amp amp amp amp amp player position look direction void drawpixel int int int int int int rgb glcolor glbegin point glvertex pixelscale pixelscale glend void moveplayer amp amp amp amp int sin int co amp amp amp amp amp amp amp amp amp amp amp amp void clearbackground int drawpixel void clipbehindplayer int int int int int int float float float float void drawwall int int int int int int int int int frontback int int dyb int dyt int int int dyb int dyt frontback surface surf surface surf drawpixel frontback surface surf surface surf drawpixel int dist int int int int int distance sqrt return distance void draw int frontback cycle float co sin numsect numsect sector numsect surface cycle surf surface cycle surf surface cycle frontback frontback cycle frontback int int frontback int swp swp swp swp dist amp amp continue clipbehindplayer amp amp amp clipbehindplayer amp amp amp clipbehindplayer amp amp amp clipbehindplayer amp amp drawwall frontback void testtextures int texture textures int pixel texture int texture name pixel int texture name pixel int texture name pixel drawpixel void display int clearbackground moveplayer testtextures draw glutswapbuffers glutreshapewindow glsw glsh glutget glut elapse time glutpostredisplay void keysdown unsigned char key int int key key key key key key key key load void keysup unsigned char key int int key key key key key key key void init int co co sin sin texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width texture name texture height texture width int main int argc char argv glutinit amp argc argv glutinitdisplaymode glut double glut rgb glutinitwindowposition glsw glsh glutinitwindowsize glsw glsh glutcreatewindow quot quot glpointsize pixelscale gluortho glsw glsh init glutdisplayfunc display glutkeyboardfunc keysdown glutkeyboardupfunc keysup glutmainloop return code pre try switch code const unsigned char name code code const char name code get console window show pre class lang none prettyprint code process exit return value press key continue code pre","<c>",115,1,5,"2024-01-01T06:45:23.467",""
77741260,1,0,"webrtc get local ipv addr permission","run leak test href rel nofollow noreferrer main report contain local good look code spd log code find local ipv address leak code spd log code pre code group bundle allow mixed msid semantic wms audio udp tl rtp savpf rtcp candidate udp bfb local typ host generation network cost candidate udp typ srflx raddr rport generation network cost ice ufrag foos ice pwd code pre code candidate code code bfb local code local ipv address know browser need permission audio video get local address browser get local perssion anyone explain thanks advance","<security><network-programming><browser><ip><webrtc>",121,1,0,"2024-01-01T07:38:21.723",""
